Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,144.88870590136816,145.68379863340178,143.54824908595566,144.82528686523438,28646000,0.0,0.0
2022-01-04 00:00:00-05:00,145.2293110937594,146.31706715288814,143.55174735936316,144.2339630126953,28400000,0.0,0.0
2022-01-05 00:00:00-05:00,144.25443668413004,144.3338438391862,137.53015953923335,137.61705017089844,54618000,0.0,0.0
2022-01-06 00:00:00-05:00,136.84145007330264,139.77957575412836,136.40195204902398,137.58958435058594,37348000,0.0,0.0
2022-01-07 00:00:00-05:00,137.98712489232273,138.28978656108362,135.61085433252262,136.85992431640625,29760000,0.0,0.0
2022-01-10 00:00:00-05:00,134.92315403103547,138.6603657542549,133.0118496761667,138.51052856445312,44408000,0.0,0.0
2022-01-11 00:00:00-05:00,137.84879904784344,140.05526638837893,136.5358070261737,139.5758056640625,28730000,0.0,0.0
2022-01-12 00:00:00-05:00,140.98817557964233,142.44451189104163,140.53320765399368,141.2683563232422,26108000,0.0,0.0
2022-01-13 00:00:00-05:00,141.37773350411226,142.68624453822338,138.25032613777253,138.42813110351562,31436000,0.0,0.0
2022-01-14 00:00:00-05:00,136.92185092329265,140.58066138697097,136.84145308277886,139.3206024169922,29662000,0.0,0.0
2022-01-18 00:00:00-05:00,136.0189011006596,136.97430182838588,135.2832493988942,135.84210205078125,34872000,0.0,0.0
2022-01-19 00:00:00-05:00,136.36699364343917,137.80135210579053,134.8607267417575,134.96160888671875,28648000,0.0,0.0
2022-01-20 00:00:00-05:00,136.0938100931272,137.46823979032314,132.81206922539295,133.15467834472656,29908000,0.0,0.0
2022-01-21 00:00:00-05:00,132.4415064012541,134.71088980765072,129.93737653774068,130.2020721435547,55652000,0.0,0.0
2022-01-24 00:00:00-05:00,125.83358103096063,131.05259741063216,124.35727851722703,130.654052734375,76622000,0.0,0.0
2022-01-25 00:00:00-05:00,128.59242083054812,129.25066195363829,126.35548619236856,126.78948211669922,46960000,0.0,0.0
2022-01-26 00:00:00-05:00,130.96869367553984,132.84753407968958,126.99624775131979,129.08485412597656,49130000,0.0,0.0
2022-01-27 00:00:00-05:00,131.15347715812396,132.50042675926917,128.7846900570163,128.85711669921875,31950000,0.0,0.0
2022-01-28 00:00:00-05:00,129.51035140168935,133.20362222500864,128.33770133617531,133.1981201171875,34362000,0.0,0.0
2022-01-31 00:00:00-05:00,134.00820552876368,135.31770729313382,132.05794439294772,135.1483917236328,39986000,0.0,0.0
2022-02-01 00:00:00-05:00,137.43676328779182,137.63503731816968,134.21446355464926,137.4862060546875,68644000,0.0,0.0
2022-02-02 00:00:00-05:00,151.07661182815963,151.37276546771454,145.35568435749863,147.83033752441406,123200000,0.0,0.0
2022-02-03 00:00:00-05:00,145.5384750859062,149.50342231167866,142.5019514710351,142.92596435546875,71518000,0.0,0.0
2022-02-04 00:00:00-05:00,143.2800692459604,144.70892564304614,140.3539230261212,143.1287384033203,57998000,0.0,0.0
2022-02-07 00:00:00-05:00,144.08463554612314,144.08463554612314,138.74076255066674,139.0414276123047,54974000,0.0,0.0
